Code,IconicityRating,Iconicity.Z.,Participant
A_01_002,5,0.924107501,24A1
A_01_002,5,1.52754031,30A1
A_01_002,5,1.316729522,32A1
A_01_002,3,0.26082147,3A1
A_01_002,7,1.256962563,34A1
A_01_002,4,0.682799134,4A1
A_01_002,5,0.655497773,8A1
A_01_002,6,1.147858978,36A1
A_01_002,3,0.284433279,1A1
A_01_002,NA,NA,9A1
A_01_002,6,1.040041035,23A1
A_01_002,3,-0.260880709,14A1
A_01_002,2,-0.157613446,6A1
A_01_002,6,0.871498975,19A1
A_01_002,1,-1.054109313,21A1
A_01_002,6,1.118528561,38A1
A_01_002,2,-0.084718073,39A1
A_01_002,6,1.739344428,5A1
A_01_002,7,1.442132932,16A1
A_01_002,5,0.788558883,26A1
A_01_002,2,-0.47388803,35A1
A_01_002,4,0.322683872,33A1
A_01_002,4,0.40340249,15A1
A_01_002,5,0.955452835,25A1
A_01_002,6,1.288688981,28A1
A_01_002,6,1.422609824,17A1
A_01_002,5,0.988676795,18A1
A_01_002,NA,NA,10A1
A_01_002,6,1.569451658,2A1
A_01_002,6,1.455520617,27A1
A_01_002,5,0.739429819,20A1
A_01_002,5,0.676104291,29A1
A_01_002,7,1.234669705,12A1
A_01_002,5,0.810230625,31A1
A_01_002,3,0.408335707,13A1
A_01_002,7,1.63293653,22A1
A_01_002,7,1.309274806,7A1
A_01_002,1,-0.659789782,37A1
A_01_002,4,0.127445868,11A1
A_01_003,1,-0.998714123,18A1
A_01_003,1,-0.659789782,37A1
A_01_003,3,-0.106242381,27A1
A_01_003,1,-0.741225742,25A1
A_01_003,1,-0.69278973,5A1
A_01_003,1,-0.721180741,30A1
A_01_003,6,0.975560513,16A1
A_01_003,1,-0.864909357,1A1
A_01_003,NA,NA,10A1
A_01_003,1,-0.967729241,35A1
A_01_003,1,-0.829051921,32A1
A_01_003,5,0.435765778,12A1
A_01_003,1,-0.981421502,28A1
A_01_003,6,1.224588559,11A1
A_01_003,2,-0.683206872,23A1
A_01_003,NA,NA,9A1
A_01_003,3,-0.423173817,36A1
A_01_003,1,-0.762282224,24A1
A_01_003,1,-1.054109313,21A1
A_01_003,1,-0.889024832,2A1
A_01_003,2,-0.854151416,22A1
A_01_003,1,-1.0983553,34A1
A_01_003,2,-0.787966224,14A1
A_01_003,1,-0.780641792,13A1
